Custom-classification-lr-SGD/pg1,Custom-classification-lr-SGD/pg2,step,Custom-classification-train_loss,Custom-classification-epoch,Custom-classification-valid_mac_acc,Custom-classification-valid_mic_acc
,,3029,0.4291437864303589,12,,
0.001,0.001,3039,,,,
,,3039,0.3194226622581482,12,,
0.001,0.001,3049,,,,
,,3049,0.33583828806877136,12,,
0.001,0.001,3059,,,,
,,3059,0.4325963854789734,12,,
0.001,0.001,3069,,,,
,,3069,0.48663419485092163,12,,
0.001,0.001,3079,,,,
,,3079,0.3296852707862854,12,,
0.001,0.001,3089,,,,
,,3089,0.43844836950302124,12,,
0.001,0.001,3099,,,,
,,3099,0.2727660536766052,12,,
0.001,0.001,3109,,,,
,,3109,0.4798440933227539,12,,
0.001,0.001,3119,,,,
,,3119,0.4333944618701935,12,,
0.001,0.001,3129,,,,
,,3129,0.3340286612510681,12,,
0.001,0.001,3139,,,,
,,3139,0.4473136365413666,12,,
0.001,0.001,3149,,,,
,,3149,0.41411277651786804,12,,
0.001,0.001,3159,,,,
,,3159,0.3425046503543854,12,,
0.001,0.001,3169,,,,
,,3169,0.3163115680217743,12,,
0.001,0.001,3179,,,,
,,3179,0.4147063195705414,12,,
0.001,0.001,3189,,,,
,,3189,0.3754819333553314,12,,
0.001,0.001,3199,,,,
,,3199,0.4641084671020508,12,,
0.001,0.001,3209,,,,
,,3209,0.19875454902648926,12,,
,,3210,,12,91.27732506569622,93.89671361502347
0.001,0.001,3219,,,,
,,3219,0.24049736559391022,13,,
0.001,0.001,3229,,,,
,,3229,0.3799274265766144,13,,
0.001,0.001,3239,,,,
,,3239,0.32730957865715027,13,,
0.001,0.001,3249,,,,
,,3249,0.5245397686958313,13,,
0.001,0.001,3259,,,,
,,3259,0.4074389934539795,13,,
0.001,0.001,3269,,,,
,,3269,0.39390385150909424,13,,
0.001,0.001,3279,,,,
,,3279,0.367218941450119,13,,
0.001,0.001,3289,,,,
,,3289,0.3545296788215637,13,,
0.001,0.001,3299,,,,
,,3299,0.545234203338623,13,,
0.001,0.001,3309,,,,
,,3309,0.3213042914867401,13,,
0.001,0.001,3319,,,,
,,3319,0.3286886215209961,13,,
0.001,0.001,3329,,,,
,,3329,0.43224912881851196,13,,
0.001,0.001,3339,,,,
,,3339,0.35873737931251526,13,,
0.001,0.001,3349,,,,
,,3349,0.4651006758213043,13,,
0.001,0.001,3359,,,,
,,3359,0.35280853509902954,13,,
0.001,0.001,3369,,,,
,,3369,0.32247868180274963,13,,
0.001,0.001,3379,,,,
,,3379,0.42350542545318604,13,,
0.001,0.001,3389,,,,
,,3389,0.3793070316314697,13,,
0.001,0.001,3399,,,,
,,3399,0.5253176689147949,13,,
0.001,0.001,3409,,,,
,,3409,0.31691956520080566,13,,
0.001,0.001,3419,,,,
,,3419,0.47244229912757874,13,,
0.001,0.001,3429,,,,
,,3429,0.2688840329647064,13,,
0.001,0.001,3439,,,,
